"Trade Date ","1 USD ","1 GBP ","1 EURO ","100 YEN "
"31-Dec-2009",46.68,,,
"30-Dec-2009",46.73,,,
"29-Dec-2009",46.69,,,
"24-Dec-2009",46.76,,,
"23-Dec-2009",46.85,,,
"22-Dec-2009",46.8,,,
"21-Dec-2009",46.8,,,
"18-Dec-2009",46.85,,,
"17-Dec-2009",46.78,,,
"16-Dec-2009",46.68,,,
"15-Dec-2009",46.64,,,
"14-Dec-2009",46.66,,,
"11-Dec-2009",46.52,,,
"10-Dec-2009",46.72,,,
"09-Dec-2009",46.77,,,
"08-Dec-2009",46.67,,,
"07-Dec-2009",46.44,,,
"04-Dec-2009",46.25,,,
"03-Dec-2009",46.22,,,
"02-Dec-2009",46.27,,,
"01-Dec-2009",46.45,,,
"30-Nov-2009",46.48,,,
"27-Nov-2009",46.81,,,
"26-Nov-2009",46.27,,,
"25-Nov-2009",46.34,,,
"24-Nov-2009",46.6,,,
"23-Nov-2009",46.49,,,
"20-Nov-2009",46.58,,,
"19-Nov-2009",46.41,,,
"18-Nov-2009",46.26,,,
"17-Nov-2009",46.25,,,
"16-Nov-2009",46.09,,,
"13-Nov-2009",46.5,,,
"12-Nov-2009",46.5,,,
"11-Nov-2009",46.57,,,
"10-Nov-2009",46.53,,,
"09-Nov-2009",46.58,,,
"06-Nov-2009",46.82,,,
"05-Nov-2009",47.13,,,
"04-Nov-2009",47.13,,,
"03-Nov-2009",47.04,,,
"30-Oct-2009",46.96,,,
"29-Oct-2009",47.52,,,
"28-Oct-2009",47.15,,,
"27-Oct-2009",46.83,,,
"26-Oct-2009",46.58,,,
"23-Oct-2009",46.45,,,
"22-Oct-2009",46.66,,,
"21-Oct-2009",46.44,,,
"20-Oct-2009",46.04,,,
"16-Oct-2009",46.27,,,
"15-Oct-2009",45.91,,,
"14-Oct-2009",46.16,,,
"12-Oct-2009",46.58,,,
"09-Oct-2009",46.5,,,
"08-Oct-2009",46.28,,,
"07-Oct-2009",46.82,,,
"06-Oct-2009",47.16,,,
"05-Oct-2009",47.53,,,
"01-Oct-2009",47.86,,,
"29-Sep-2009",48.04,,,
"25-Sep-2009",47.98,,,
"24-Sep-2009",48.1,,,
"23-Sep-2009",47.96,,,
"22-Sep-2009",48.17,,,
"18-Sep-2009",48.18,,,
"17-Sep-2009",47.97,,,
"16-Sep-2009",48.36,,,
"15-Sep-2009",48.57,,,
"14-Sep-2009",48.7,,,
"11-Sep-2009",48.51,,,
"10-Sep-2009",48.37,,,
"09-Sep-2009",48.47,,,
"08-Sep-2009",48.65,,,
"07-Sep-2009",48.75,,,
"04-Sep-2009",48.89,,,
"03-Sep-2009",48.88,,,
"02-Sep-2009",49.06,,,
"01-Sep-2009",48.73,,,
"31-Aug-2009",48.88,,,
"28-Aug-2009",48.87,,,
"27-Aug-2009",48.98,,,
"26-Aug-2009",48.83,,,
"25-Aug-2009",48.79,,,
"24-Aug-2009",48.5,,,
"21-Aug-2009",48.74,,,
"20-Aug-2009",48.7,,,
"18-Aug-2009",48.74,,,
"17-Aug-2009",48.68,,,
"14-Aug-2009",48.27,,,
"13-Aug-2009",48.14,,,
"12-Aug-2009",48.35,,,
"11-Aug-2009",47.94,,,
"10-Aug-2009",47.81,,,
"07-Aug-2009",47.86,,,
"06-Aug-2009",47.58,,,
"05-Aug-2009",47.67,,,
"04-Aug-2009",47.54,,,
"03-Aug-2009",47.87,,,
"31-Jul-2009",48.16,,,
